ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,daily_return,cumulative_return,ma5,ma20,month,signal,position,strategy_return,strategy_cumulative_return
002594.SZ,2025-11-20,95.17,95.5,93.5,93.61,95.17,-1.56,-1.6392,391810.87,3692348.085,-0.01639172007985712,-0.7438850889192885,96.344,99.2875,2025-11,0,0.0,-0.0,-0.7022006368828746
002594.SZ,2025-11-21,92.49,94.39,91.7,92.7,93.61,-0.91,-0.9721,451713.13,4182916.493,-0.009721183634227026,-0.7463748290013679,95.21,98.7345,2025-11,0,0.0,-0.0,-0.7022006368828746
002594.SZ,2025-11-24,93.1,94.41,92.2,93.93,92.7,1.23,1.3269,327302.13,3064736.739,0.013268608414239491,-0.7430095759233925,94.38,98.23049999999999,2025-11,0,0.0,0.0,-0.7022006368828746
002594.SZ,2025-11-25,94.0,95.38,93.7,93.91,93.93,-0.02,-0.0213,277488.87,2620855.758,-0.00021292451825838388,-0.7430642954856359,93.864,97.74,2025-11,0,0.0,-0.0,-0.7022006368828746
002594.SZ,2025-11-26,94.75,95.44,94.45,95.09,93.91,1.18,1.2565,306576.97,2914626.393,0.012565222021084121,-0.7398358413132693,93.848,97.26849999999999,2025-11,0,0.0,0.0,-0.7022006368828746
002594.SZ,2025-11-27,94.6,95.16,94.22,94.29,95.09,-0.8,-0.8413,202279.96,1915349.541,-0.008413082343043388,-0.7420246238030094,93.98400000000001,96.8025,2025-11,0,0.0,-0.0,-0.7022006368828746
002594.SZ,2025-11-28,94.6,95.23,94.2,95.17,94.29,0.88,0.9333,219350.62,2080615.71,0.009332909110191911,-0.7396169630642953,94.47800000000001,96.5215,2025-11,0,0.0,0.0,-0.7022006368828746
002594.SZ,2025-12-01,95.39,96.3,95.14,95.77,95.17,0.6,0.6305,233712.72,2237016.414,0.006304507723021935,-0.7379753761969903,94.846,96.33,2025-12,0,0.0,0.0,-0.7022006368828746
002594.SZ,2025-12-02,96.42,97.8,96.25,96.62,95.77,0.85,0.8875,359217.46,3483571.735,0.008875430719432087,-0.7356497948016414,95.388,96.271,2025-12,0,0.0,0.0,-0.7022006368828746
002594.SZ,2025-12-03,96.64,96.65,94.89,95.05,96.62,-1.57,-1.6249,231572.84,2207429.346,-0.016249223763196152,-0.7399452804377563,95.38000000000001,96.2335,2025-12,0,0.0,-0.0,-0.7022006368828746
002594.SZ,2025-12-04,94.92,95.29,94.2,95.24,95.05,0.19,0.1999,166141.64,1576759.405,0.001998947922146277,-0.739425444596443,95.57000000000001,96.1195,2025-12,0,0.0,0.0,-0.7022006368828746
002594.SZ,2025-12-05,95.29,96.22,94.71,95.98,95.24,0.74,0.777,211618.47,2021250.209,0.007769844603108034,-0.7374008207934335,95.732,96.05850000000001,2025-12,0,0.0,0.0,-0.7022006368828746
002594.SZ,2025-12-08,96.21,97.15,96.21,96.53,95.98,0.55,0.573,247804.98,2397261.754,0.005730360491769115,-0.7358960328317372,95.884,95.91550000000001,2025-12,0,0.0,0.0,-0.7022006368828746
002594.SZ,2025-12-09,96.21,96.66,95.7,96.03,96.53,-0.5,-0.518,163227.02,1568057.388,-0.005179736869367013,-0.7372640218878247,95.766,95.78150000000001,2025-12,0,0.0,-0.0,-0.7022006368828746
002594.SZ,2025-12-10,95.6,96.65,94.9,96.47,96.03,0.44,0.4582,198402.24,1902988.18,0.004581901489117968,-0.7360601915184677,96.05,95.71650000000001,2025-12,1,1.0,0.0,-0.7022006368828746
002594.SZ,2025-12-11,96.98,97.12,95.85,96.23,96.47,-0.24,-0.2488,250907.67,2422448.208,-0.002487820047683109,-0.7367168262653896,96.248,95.5365,2025-12,0,1.0,-0.002487820047683109,-0.7029415081086248
002594.SZ,2025-12-12,96.2,97.7,95.65,97.0,96.23,0.77,0.8002,554620.88,5390456.375,0.008001662683154942,-0.7346101231190147,96.452,95.468,2025-12,0,1.0,0.008001662683154942,-0.7005645462593433
002594.SZ,2025-12-15,96.55,97.16,95.53,95.53,97.0,-1.47,-1.5155,293300.99,2824248.327,-0.015154639175257723,-0.7386320109439122,96.252,95.3405,2025-12,0,1.0,-0.015154639175257723,-0.7051023825170625
002594.SZ,2025-12-16,95.5,95.7,94.14,94.25,95.53,-1.28,-1.3399,258767.71,2450336.536,-0.013398932272584485,-0.7421340629274963,95.896,95.22850000000001,2025-12,0,1.0,-0.013398932272584485,-0.7090536957210629
002594.SZ,2025-12-17,94.5,95.7,93.68,95.21,94.25,0.96,1.0186,272825.0,2584139.145,0.010185676392572951,-0.7395075239398081,95.644,95.2305,2025-12,0,1.0,0.010185676392572951,-0.7060902108180626
002594.SZ,2025-12-18,94.39,94.6,93.5,93.53,95.21,-1.68,-1.7645,252797.34,2376126.962,-0.0176452053355739,-0.7441039671682623,95.104,95.2265,2025-12,-1,0.0,-0.0176452053355739,-0.7112763093983131
002594.SZ,2025-12-19,94.0,95.27,93.73,94.23,93.53,0.7,0.7484,272067.94,2573037.718,0.007484229658933028,-0.7421887824897397,94.55,95.30300000000001,2025-12,0,0.0,0.0,-0.7112763093983131
002594.SZ,2025-12-22,94.7,95.36,94.25,94.37,94.23,0.14,0.1486,206234.82,1952361.858,0.0014857264140932802,-0.7418057455540352,94.31800000000001,95.325,2025-12,0,0.0,0.0,-0.7112763093983131
002594.SZ,2025-12-23,94.5,95.5,94.5,94.81,94.37,0.44,0.4662,236617.41,2247679.864,0.004662498675426452,-0.7406019151846782,94.43,95.36999999999999,2025-12,0,0.0,0.0,-0.7112763093983131
002594.SZ,2025-12-24,94.8,94.8,94.05,94.42,94.81,-0.39,-0.4113,192809.95,1819358.259,-0.004113490138171083,-0.7416689466484265,94.272,95.3365,2025-12,0,0.0,-0.0,-0.7112763093983131
002594.SZ,2025-12-25,94.43,95.23,94.12,94.84,94.42,0.42,0.4448,182201.63,1725723.851,0.0044482101249736505,-0.740519835841313,94.534,95.364,2025-12,0,0.0,0.0,-0.7112763093983131
002594.SZ,2025-12-26,95.28,101.45,95.25,100.01,94.84,5.17,5.4513,1020958.95,10178557.962,0.05451286377056097,-0.7263748290013676,95.69,95.60600000000001,2025-12,1,1.0,0.0,-0.7112763093983131
002594.SZ,2025-12-29,100.5,101.3,99.6,100.21,100.01,0.2,0.2,519166.96,5209488.142,0.0019998000199978883,-0.7258276333789326,96.85799999999999,95.828,2025-12,0,1.0,0.0019998000199978883,-0.710698919756074
002594.SZ,2025-12-30,99.26,100.15,98.74,99.75,100.21,-0.46,-0.459,318756.38,3174697.986,-0.004590360243488578,-0.7270861833105332,97.846,95.9845,2025-12,0,1.0,-0.004590360243488578,-0.712026915933224
002594.SZ,2025-12-31,99.98,100.2,97.38,97.72,99.75,-2.03,-2.0351,402858.87,3955310.311,-0.020350877192982453,-0.7326402188782486,98.506,96.118,2025-12,0,1.0,-0.020350877192982453,-0.7178874208019513
002594.SZ,2026-01-05,98.4,99.48,97.9,98.11,97.72,0.39,0.3991,382625.21,3762797.878,0.003990994678673809,-0.7315731874145004,99.16,96.2615,2026-01,0,1.0,0.003990994678673809,-0.716761510999585
002594.SZ,2026-01-06,98.22,100.5,98.12,99.99,98.11,1.88,1.9162,521784.86,5185026.166,0.019162164916930013,-0.7264295485636112,99.15599999999999,96.462,2026-01,0,1.0,0.019162164916930013,-0.711334048362537
